Country,Date,New_cases,Total_Cases,Total_Percent
Austria,26 Nov 2020,5526,265959,2.99
Austria,27 Nov 2020,4954,270913,3.04
Austria,27 Nov 2020,4954,270913,3.04
Austria,27 Nov 2020,4954,270913,3.04
Austria,28 Nov 2020,4669,275582,3.1
Austria,28 Nov 2020,4669,275582,3.1
Austria,29 Nov 2020,4047,279629,3.14
Austria,30 Nov 2020,2748,282377,3.17
Austria,30 Nov 2020,2748,282377,3.17
Austria,1 Dec 2020,3033,285410,3.21
Austria,1 Dec 2020,3033,285410,3.21
Austria,1 Dec 2020,3033,285410,3.21
Austria,2 Dec 2020,3972,289382,3.25
Austria,3 Dec 2020,3969,293351,3.3
Austria,3 Dec 2020,3969,293351,3.3
Austria,4 Dec 2020,3815,297166,3.34
Austria,5 Dec 2020,3444,300610,3.38
Austria,5 Dec 2020,3444,300610,3.38
Austria,5 Dec 2020,3444,300610,3.38
Austria,6 Dec 2020,2741,303351,3.41
Austria,6 Dec 2020,2741,303351,3.41
Austria,7 Dec 2020,2263,305614,3.43
Austria,8 Dec 2020,2377,307991,3.46
Austria,8 Dec 2020,2377,307991,3.46
Austria,9 Dec 2020,2932,310923,3.49
Austria,9 Dec 2020,2932,310923,3.49
Austria,9 Dec 2020,2932,310923,3.49
Austria,10 Dec 2020,2686,313609,3.52
Austria,11 Dec 2020,2893,316502,3.56
Austria,11 Dec 2020,2893,316502,3.56
Austria,12 Dec 2020,3241,319743,3.59
Austria,13 Dec 2020,2641,322384,3.62
Austria,13 Dec 2020,2641,322384,3.62
Austria,13 Dec 2020,2641,322384,3.62
Austria,14 Dec 2020,2588,324972,3.65
Austria,14 Dec 2020,2588,324972,3.65
Austria,15 Dec 2020,2628,327600,3.68
Austria,16 Dec 2020,2664,330264,3.71
Austria,16 Dec 2020,2664,330264,3.71
Austria,16 Dec 2020,2664,330264,3.71
Austria,17 Dec 2020,2485,332749,3.74
Austria,17 Dec 2020,2485,332749,3.74
Austria,18 Dec 2020,2085,334834,3.76
Austria,19 Dec 2020,2296,337130,3.79
Austria,19 Dec 2020,2296,337130,3.79
Austria,20 Dec 2020,1645,338775,3.81
Austria,20 Dec 2020,1645,338775,3.81
Austria,20 Dec 2020,1645,338775,3.81
Austria,21 Dec 2020,1519,340294,3.82
Austria,22 Dec 2020,1853,342147,3.84
Austria,22 Dec 2020,1853,342147,3.84
